len,world,iter,time
1000000000,1,1,14239.468097686768
1000000000,2,0,14338.675737380981
1000000000,2,1,13218.956708908081
1000000000,4,0,13247.017621994019
1000000000,4,1,23222.39851951599
1000000000,8,0,13260.698318481445
1000000000,8,1,13221.04024887085
1000000000,16,0,16710.784196853638
1000000000,16,1,14178.439140319824
1000000000,32,0,13385.977268218994
1000000000,32,1,16713.07396888733
1000000000,64,0,13593.02544593811
1000000000,64,1,14558.115005493164
1000000000,128,0,46.326398849487305
1000000000,128,1,49.05247688293457
1000000000,256,0,104.24423217773438
1000000000,256,1,109.91573333740234
1000000000,512,0,210.71243286132812
1000000000,512,1,228.29031944274902
1000000000,1,0,8.171319961547852
1000000000,1,1,13795.865535736084
1000000000,1,2,22704.047203063965
1000000000,1,3,14568.259477615356
1000000000,2,0,12.270689010620117
1000000000,2,1,13069.387674331665
1000000000,2,2,13547.72686958313
1000000000,2,3,15369.276762008667
1000000000,4,0,13714.93124961853
1000000000,4,1,21419.745922088623
1000000000,4,2,13985.846519470215
1000000000,4,3,13113.057136535645
1000000000,8,0,14243.66307258606
1000000000,8,1,20745.92399597168
1000000000,8,2,22127.684593200684
1000000000,8,3,16792.5066947937
1000000000,16,0,13987.615585327148
1000000000,16,1,14209.8548412323
1000000000,16,2,14132.926225662231
1000000000,16,3,14850.522518157959
1000000000,32,0,13735.228776931763
1000000000,32,1,13356.143951416016
1000000000,32,2,14039.73126411438
1000000000,32,3,13674.96943473816
1000000000,64,0,14529.611825942993
1000000000,64,1,14243.017435073853
1000000000,64,2,13819.905757904053
1000000000,64,3,14606.825113296509
