len,world,iter,time
1000000000,1,0,1237123.465538025
1000000000,1,1,1403126.583814621
1000000000,1,2,1425016.4587497711
1000000000,1,3,1440664.289712906
1000000000,1,4,1438683.3322048187
1000000000,2,0,1422167
1000000000,2,1,1225297
1000000000,4,0,1014154.8318862915
1000000000,4,1,1029215.0111198425
1000000000,8,0,1054711.1077308655
1000000000,8,1,1244143.0480480194
1000000000,16,0,1005094.1984653473
1000000000,16,1,1257850.6231307983
1000000000,32,0,1489983.0844402313
1000000000,32,1,1239226.897239685
1000000000,64,0,1046389.4503116608
1000000000,64,1,891110.1219654083
1000000000,128,0,1322377.1677017212
1000000000,128,1,1367427.6976585388
1000000000,256,0,1429158.361196518
1000000000,256,1,1376361.4370822906
1000000000,512,0,1391210.0586891174
1000000000,512,1,1187437.2231960297
