len,world,iter,time
1000000000,1,0,34098.73127937317
1000000000,1,1,34032.88722038269
1000000000,2,0,49999.122619628906
1000000000,2,1,47998.74925613403
1000000000,4,0,44997.748374938965
1000000000,4,1,45999.7181892395
1000000000,8,0,43999.28021430969
1000000000,8,1,43998.74997138977
1000000000,16,0,44367.20371246338
1000000000,16,1,41543.80416870117
1000000000,32,0,41999.751567840576
1000000000,32,1,43998.07596206665
1000000000,64,0,41052.34599113464
1000000000,64,1,40873.00395965576
1000000000,128,0,43999.44448471069
1000000000,128,1,41995.163440704346
1000000000,256,0,41999.319076538086
1000000000,256,1,42003.57103347778
1000000000,512,0,42002.97784805298
1000000000,512,1,40000.36001205444
