len,world,iter,time
1000000000,1,0,88261.8932723999
1000000000,1,1,89301.13530158997
1000000000,2,0,87857.90610313416
1000000000,2,1,86475.88801383972
1000000000,4,0,76464.62726593018
1000000000,4,1,88047.21069335938
1000000000,8,0,80163.15364837646
1000000000,8,1,77942.14963912964
1000000000,16,0,78685.8983039856
1000000000,16,1,76850.5916595459
1000000000,32,0,78165.63868522644
1000000000,32,1,79916.21232032776
1000000000,64,0,77682.49249458313
1000000000,64,1,76669.95549201965
1000000000,128,0,58680.416107177734
1000000000,128,1,59688.475131988525
1000000000,256,0,61810.301065444946
1000000000,256,1,76027.97985076904
1000000000,512,0,59745.407819747925
1000000000,512,1,55860.870361328125
