len,world,iter,time,tag,out_len
1000000000,1,0,394355.8461666107,a=sort u=0.9,1111082886
1000000000,1,1,406331.8545818329,a=sort u=0.9,1111082886
1000000000,2,0,220377.39992141724,a=sort u=0.9,1111052354
1000000000,2,1,233427.82521247864,a=sort u=0.9,1111052354
1000000000,4,0,104312.08515167236,a=sort u=0.9,1111273216
1000000000,4,1,112679.00133132935,a=sort u=0.9,1111273216
1000000000,8,0,50925.835847854614,a=sort u=0.9,1111191408
1000000000,8,1,52311.63668632507,a=sort u=0.9,1111191408
1000000000,16,0,25063.46344947815,a=sort u=0.9,1111192736
1000000000,16,1,25759.3514919281,a=sort u=0.9,1111192736
1000000000,32,0,12931.291103363037,a=sort u=0.9,1111239424
1000000000,32,1,13124.977588653564,a=sort u=0.9,1111239424
1000000000,64,0,7245.634317398071,a=sort u=0.9,1111357056
1000000000,64,1,7349.344730377197,a=sort u=0.9,1111357056
1000000000,128,0,4135.053873062134,a=sort u=0.9,1111093376
1000000000,128,1,4489.861488342285,a=sort u=0.9,1111093376
1000000000,256,0,3028.350353240967,a=sort u=0.9,1111266816
1000000000,256,1,3936.5339279174805,a=sort u=0.9,1111266816
1000000000,512,0,6048.8786697387695,a=sort u=0.9,1109531136
1000000000,512,1,7598.492383956909,a=sort u=0.9,1109531136
1000000000,1,0,1127120.6097602844,a=hash u=0.9,1111059820
1000000000,1,1,2307180.2756786346,a=hash u=0.9,1111059820
1000000000,2,0,535739.2983436584,a=hash u=0.9,1111294374
1000000000,2,1,660527.8754234314,a=hash u=0.9,1111294374
1000000000,4,0,214950.26516914368,a=hash u=0.9,1110931216
1000000000,4,1,293450.8888721466,a=hash u=0.9,1110931216
1000000000,8,0,102049.87692832947,a=hash u=0.9,1111007472
1000000000,8,1,134248.53444099426,a=hash u=0.9,1111007472
1000000000,16,0,48016.289949417114,a=hash u=0.9,1111046976
1000000000,16,1,62241.819858551025,a=hash u=0.9,1111046976
1000000000,32,0,26776.673555374146,a=hash u=0.9,1110312512
1000000000,32,1,31818.73059272766,a=hash u=0.9,1110312512
1000000000,64,0,13146.398067474365,a=hash u=0.9,1111993856
1000000000,64,1,16196.721076965332,a=hash u=0.9,1111993856
1000000000,128,0,7673.352956771851,a=hash u=0.9,1111255552
1000000000,128,1,8274.375915527344,a=hash u=0.9,1111255552
1000000000,256,0,4686.748027801514,a=hash u=0.9,1110976512
1000000000,256,1,5702.306270599365,a=hash u=0.9,1110976512
1000000000,512,0,7248.346328735352,a=hash u=0.9,1113164800
1000000000,512,1,8671.65231704712,a=hash u=0.9,1113164800

1000000000,1,0,399359.74192619324,a=sort u=0.9,1111072875
1000000000,1,1,419853.94382476807,a=sort u=0.9,1111072875
1000000000,1,2,425107.7456474304,a=sort u=0.9,1111072875
1000000000,1,3,432249.78613853455,a=sort u=0.9,1111072875
1000000000,2,0,220105.99970817566,a=sort u=0.9,1111102548
1000000000,2,1,240247.6668357849,a=sort u=0.9,1111102548
1000000000,2,2,246019.1867351532,a=sort u=0.9,1111102548
1000000000,2,3,249804.24046516418,a=sort u=0.9,1111102548
1000000000,4,0,104408.8716506958,a=sort u=0.9,1111138477
1000000000,4,1,113658.35618972778,a=sort u=0.9,1111138477
1000000000,4,2,117340.14797210693,a=sort u=0.9,1111138477
1000000000,4,3,116230.26919364929,a=sort u=0.9,1111138477
1000000000,8,0,50906.67200088501,a=sort u=0.9,1111083867
1000000000,8,1,54139.19115066528,a=sort u=0.9,1111083867
1000000000,8,2,57831.03847503662,a=sort u=0.9,1111083867
1000000000,8,3,56250.8385181427,a=sort u=0.9,1111083867
1000000000,16,0,26038.18941116333,a=sort u=0.9,1111129855
1000000000,16,1,26722.54776954651,a=sort u=0.9,1111129855
1000000000,16,2,27841.728448867798,a=sort u=0.9,1111129855
1000000000,16,3,27578.277587890625,a=sort u=0.9,1111129855
1000000000,32,0,13474.565744400024,a=sort u=0.9,1111194983
1000000000,32,1,13616.301774978638,a=sort u=0.9,1111194983
1000000000,32,2,14038.132905960083,a=sort u=0.9,1111194983
1000000000,32,3,14074.138164520264,a=sort u=0.9,1111194983
1000000000,64,0,7179.870128631592,a=sort u=0.9,1111042535
1000000000,64,1,7402.342319488525,a=sort u=0.9,1111042535
1000000000,64,2,7742.61999130249,a=sort u=0.9,1111042535
1000000000,64,3,7595.268726348877,a=sort u=0.9,1111042535
1000000000,128,0,4149.240970611572,a=sort u=0.9,1111165899
1000000000,128,1,4504.137992858887,a=sort u=0.9,1111165899
1000000000,128,2,4443.777799606323,a=sort u=0.9,1111165899
1000000000,128,3,4582.610368728638,a=sort u=0.9,1111165899
1000000000,256,0,3095.897674560547,a=sort u=0.9,1111117755
1000000000,256,1,3891.0982608795166,a=sort u=0.9,1111117755
1000000000,256,2,3851.365089416504,a=sort u=0.9,1111117755
1000000000,256,3,4071.012496948242,a=sort u=0.9,1111117755
1000000000,512,0,6105.877637863159,a=sort u=0.9,1111138456
1000000000,512,1,7526.667833328247,a=sort u=0.9,1111138456
1000000000,512,2,7633.2106590271,a=sort u=0.9,1111138456
1000000000,512,3,7115.128993988037,a=sort u=0.9,1111138456

100000000,1,0,36671.38433456421,a=sort u=0.9,111109228
100000000,1,1,37152.01497077942,a=sort u=0.9,111109228
100000000,1,2,37281.63695335388,a=sort u=0.9,111109228
100000000,1,3,37089.91551399231,a=sort u=0.9,111109228
100000000,2,0,19757.550954818726,a=sort u=0.9,111111376
100000000,2,1,19933.10046195984,a=sort u=0.9,111111376
100000000,2,2,20644.23441886902,a=sort u=0.9,111111376
100000000,2,3,20456.9251537323,a=sort u=0.9,111111376
100000000,4,0,9448.42553138733,a=sort u=0.9,111103743
100000000,4,1,9615.588665008545,a=sort u=0.9,111103743
100000000,4,2,9626.866817474365,a=sort u=0.9,111103743
100000000,4,3,10078.331708908081,a=sort u=0.9,111103743
100000000,8,0,4611.294746398926,a=sort u=0.9,111101207
100000000,8,1,4630.080461502075,a=sort u=0.9,111101207
100000000,8,2,4650.457859039307,a=sort u=0.9,111101207
100000000,8,3,4748.061418533325,a=sort u=0.9,111101207
