len,world,iter,time
1000000000,1,0,604.0935516357422
1000000000,1,1,602.8764247894287
1000000000,1,2,602.818489074707
1000000000,1,3,602.7624607086182
1000000000,2,0,459.62023735046387
1000000000,2,1,294.30699348449707
1000000000,2,2,293.98655891418457
1000000000,2,3,294.1241264343262
1000000000,4,0,220.95584869384766
1000000000,4,1,151.62205696105957
1000000000,4,2,151.84426307678223
1000000000,4,3,152.14276313781738
1000000000,8,0,103.71947288513184
1000000000,8,1,78.7503719329834
1000000000,8,2,77.62336730957031
1000000000,8,3,77.35991477966309
1000000000,16,0,111.29641532897949
1000000000,16,1,41.9466495513916
1000000000,16,2,39.61443901062012
1000000000,16,3,44.910430908203125
1000000000,32,0,39.87622261047363
1000000000,32,1,19.279003143310547
1000000000,32,2,19.301652908325195
1000000000,32,3,19.41394805908203
1000000000,64,0,37.26005554199219
1000000000,64,1,12.966632843017578
1000000000,64,2,10.92219352722168
1000000000,64,3,10.372638702392578
1000000000,128,0,39.422035217285156
1000000000,128,1,7.215738296508789
1000000000,128,2,6.489992141723633
1000000000,128,3,5.773305892944336
1000000000,256,0,9.803295135498047
1000000000,256,1,6.200075149536133
1000000000,256,2,3.9854049682617188
1000000000,256,3,3.9107799530029297
1000000000,512,0,27.64606475830078
1000000000,512,1,4.55021858215332
1000000000,512,2,4.313468933105469
1000000000,512,3,4.339694976806641
