len,world,iter,time
1000000000,1,0,5137.767791748047
1000000000,1,1,3988.6584281921387
1000000000,1,2,4346.407175064087
1000000000,1,3,5544.2304611206055
1000000000,2,0,2599.4715690612793
1000000000,2,1,2025.608777999878
1000000000,2,2,3096.623182296753
1000000000,2,3,2197.3564624786377
1000000000,4,0,1293.5540676116943
1000000000,4,1,688.6863708496094
1000000000,4,2,681.1866760253906
1000000000,4,3,683.8088035583496
1000000000,8,0,762.4633312225342
1000000000,8,1,349.3671417236328
1000000000,8,2,339.7181034088135
1000000000,8,3,340.55352210998535
1000000000,16,0,395.047664642334
1000000000,16,1,172.64962196350098
1000000000,16,2,198.75311851501465
1000000000,16,3,172.93214797973633
1000000000,32,0,177.0615577697754
1000000000,32,1,89.57242965698242
1000000000,32,2,87.79740333557129
1000000000,32,3,87.96191215515137
1000000000,64,0,112.1218204498291
1000000000,64,1,47.6226806640625
1000000000,64,2,47.745704650878906
1000000000,64,3,48.94709587097168
1000000000,128,0,90.74091911315918
1000000000,128,1,30.497074127197266
1000000000,128,2,31.742572784423828
1000000000,128,3,30.89618682861328
1000000000,256,0,74.69797134399414
1000000000,256,1,24.22618865966797
1000000000,256,2,27.141332626342773
1000000000,256,3,26.877880096435547
1000000000,512,0,178.5750389099121
1000000000,512,1,27.27675437927246
1000000000,512,2,26.931047439575195
1000000000,512,3,27.03547477722168
